magazyn;52.50953477032727;20.994873046875;;;;
bsfsd;52.14697334064471;22.313232421875;27.21;6;08:30;10:30
c;52.696361078274485;22.30224609375;350;10;09:15;16:00
d;52.82932091031374;21.346435546875;241;0.5;08:15;13:30
e;52.74959372674114;20.93994140625;360;7;12:00;14:00
f;52.82932091031374;20.159912109375;85;1.5;15:00;17:00
g;52.5897007687178;21.346435546875;500;2.3;12:00;18:00
h;52.44261787120724;21.785888671875;456;4.7;07:00;16:00
i;52.0862573323384;21.4013671875;1200;8.3;08:00;19:00
j;51.984880139916626;21.07177734375;280;5.8;09:00;12:00
