ul.Brzezińska 6, 95-010 Stryków;;;;
ul.Kanonia 6, 00-278 Warszawa;270;1;08:00:00;18:00:00
ul.Rajska 10, 80-850 Gdańsk;320;1;08:00:00;18:00:00
ul.Tkacka 50, 70-556 Szczecin;500;1;08:00:00;18:00:00
ul.Mokra 1, 61-766 Poznań;100;1;08:00:00;18:00:00
ul.Obotrycka 10, 66-400 Gorzów Wielkopolski;410;1;08:00:00;18:00:00
ul.Szewska 10, 50-122 Wrocław;450;1;08:00:00;18:00:00
ul.Krakowska 44, 46-020 Opole;300;1;08:00:00;18:00:00
ul.Plebiscytowa 42A, 40-041 Katowice;200;1;08:00:00;18:00:00
ul.Pawia 5, 31-154 Kraków;280;1;08:00:00;18:00:00
ul.Adama Mickiewicza 13, 35-064 Rzeszów;470;1;08:00:00;18:00:00
ul.Królewska 10, 20-109 Lublin;360;1;08:00:00;18:00:00
ul.Stefana Żeromskiego 5, 25-001 Kielce;100;1;08:00:00;18:00:00
ul.Ignacego Skorupki 9, 90-458 Łódź;450;1;08:00:00;18:00:00
ul.Farna 2, 85-001 Bydgoszcz;50;1;08:00:00;18:00:00
ul.Dąbrowszczaków 3, 10-538 Olsztyn;230;1;08:00:00;18:00:00
ul.Kościelna 2, 15-001 Białystok;140;1;08:00:00;18:00:00
ul.Mariacka 1, 65-073 Zielona Góra;450;1;08:00:00;18:00:00
ul.Bolesława Chrobrego 7, 75-001 Koszalin;120;1;08:00:00;18:00:00
ul.Piłsudskiego 74, 08-100 Siedlce;190;1;08:00:00;18:00:00
ul.Kardynała M. Ledóchowskiego 2, 63-400 Ostrów Wielkopolski;160;1;08:00:00;18:00:00
ul.Katedralna 1, 27-600 Sandomierz;190;1;08:00:00;18:00:00
ul.Aleja Mała 14, 24-100 Puławy;130;1;08:00:00;18:00:00
ul.Jana Kilińskiego 30, 26-610 Radom;100;1;08:00:00;18:00:00
ul.Kościuszki 6, 96-200 Rawa Mazowiecka;200;1;08:00:00;18:00:00
ul.Plac Wojewódzki 1, 98-200 Sieradz;350;1;08:00:00;18:00:00
ul.Aleje 1 Maja 13, 62-510 Konin;140;1;08:00:00;18:00:00
ul.Słowackiego 17, 97-300 Piotrków Trybunalski;120;1;08:00:00;18:00:00
ul.Aleja Stanisława Jachowicza 38, 09-400 Płock;100;1;08:00:00;18:00:00
ul.Tadeusza Kościuszki 39, 07-300 Ostrów Mazowiecka;340;1;08:00:00;18:00:00
ul.Marsz. Józefa Piłsudskiego 3, 21-500 Biała Podlaska;150;1;08:00:00;18:00:00
ul.Plac Katedralny 6, 33-100 Tarnów;70;1;08:00:00;18:00:00
ul.Grodzisko 1, 57-300 Kłodzko;320;1;08:00:00;18:00:00
ul.Księdza Skorupki 6, 16-303 Augustów;170;1;08:00:00;18:00:00
ul.Plac płk. Berka Joselewicza 1, 37-700 Przemyśl;70;1;08:00:00;18:00:00
ul.Plac Kościelny 5, 89-600 Chojnice;90;1;08:00:00;18:00:00
